Freq.	V(out)*15.4882
5.86009034305946e+000	(-6.60723332221039e-003dB,6.75330391412429e-002°)
1.17201806861189e+001	(-6.57876809155459e-003dB,1.35065737693842e-001°)
1.75802710291784e+001	(-6.53132639783433e-003dB,2.02597755044636e-001°)
2.34403613722378e+001	(-6.46490877501238e-003dB,2.70128750601861e-001°)
2.93004517152973e+001	(-6.37951596817320e-003dB,3.37658383824792e-001°)
3.51605420583567e+001	(-6.27514894088291e-003dB,4.05186314181640e-001°)
4.10206324014162e+001	(-6.15180886603166e-003dB,4.72712201186630e-001°)
4.68807227444756e+001	(-6.00949713496562e-003dB,5.40235704407338e-001°)
5.27408130875351e+001	(-5.84821534331000e-003dB,6.07756483459735e-001°)
5.86009034305945e+001	(-5.66796531158165e-003dB,6.75274198026422e-001°)
6.44609937736540e+001	(-5.46874906362288e-003dB,7.42788507859075e-001°)
7.03210841167135e+001	(-5.25056884391450e-003dB,8.10299072793952e-001°)
7.61811744597729e+001	(-5.01342710422162e-003dB,8.77805552751656e-001°)
8.20412648028324e+001	(-4.75732651339532e-003dB,9.45307607748867e-001°)
8.79013551458918e+001	(-4.48226994909875e-003dB,1.01280489790625e+000°)
9.37614454889513e+001	(-4.18826050827025e-003dB,1.08029708345443e+000°)
9.96215358320107e+001	(-3.87530149148301e-003dB,1.14778382474588e+000°)
1.05481626175070e+002	(-3.54339642084773e-003dB,1.21526478225862e+000°)
1.11341716518130e+002	(-3.19254902259926e-003dB,1.28273961660801e+000°)
1.17201806861189e+002	(-2.82276324670858e-003dB,1.35020798854944e+000°)
1.23061897204249e+002	(-2.43404323793013e-003dB,1.41766955899107e+000°)
1.28921987547308e+002	(-2.02639337016266e-003dB,1.48512398899933e+000°)
1.34782077890367e+002	(-1.59981821833843e-003dB,1.55257093980855e+000°)
1.40642168233427e+002	(-1.15432257301614e-003dB,1.62001007282697e+000°)
1.46502258576486e+002	(-6.89911436929571e-004dB,1.68744104964425e+000°)
1.52362348919546e+002	(-2.06590017317552e-004dB,1.75486353204242e+000°)
1.58222439262605e+002	(2.95636258550094e-004dB,1.82227718200037e+000°)
1.64082529605665e+002	(8.16761756028636e-004dB,1.88968166170326e+000°)
1.69942619948724e+002	(1.35678063326088e-003dB,1.95707663354992e+000°)
1.75802710291784e+002	(1.91568683320210e-003dB,2.02446176016154e+000°)
1.81662800634843e+002	(2.49347409458555e-003dB,2.09183670438751e+000°)
1.87522890977903e+002	(3.09013594143289e-003dB,2.15920112931465e+000°)
1.93382981320962e+002	(3.70566568993247e-003dB,2.22655469827565e+000°)
1.99243071664021e+002	(4.34005644785637e-003dB,2.29389707485499e+000°)
2.05103162007081e+002	(4.99330111075058e-003dB,2.36122792289691e+000°)
2.10963252350140e+002	(5.66539237121563e-003dB,2.42854690651572e+000°)
2.16823342693200e+002	(6.35632270692704e-003dB,2.49585369009891e+000°)
2.22683433036259e+002	(7.06608439077443e-003dB,2.56314793831980e+000°)
2.28543523379319e+002	(7.79466949363071e-003dB,2.63042931614070e+000°)
2.34403613722378e+002	(8.54206986739722e-003dB,2.69769748882452e+000°)
2.40263704065438e+002	(9.30827716423462e-003dB,2.76495212193945e+000°)
2.46123794408497e+002	(1.00932828279065e-002dB,2.83219288136759e+000°)
2.51983884751557e+002	(1.08970780940510e-002dB,2.89941943331294e+000°)
2.57843975094616e+002	(1.17196539971264e-002dB,2.96663144430859e+000°)
2.63704065437676e+002	(1.25610013609243e-002dB,3.03382858122443e+000°)
2.69564155780735e+002	(1.34211108046701e-002dB,3.10101051127392e+000°)
2.75424246123794e+002	(1.42999727441990e-002dB,3.16817690202325e+000°)
2.81284336466854e+002	(1.51975773924252e-002dB,3.23532742139616e+000°)
2.87144426809913e+002	(1.61139147497196e-002dB,3.30246173768450e+000°)
2.93004517152973e+002	(1.70489746233223e-002dB,3.36957951955409e+000°)
2.98864607496032e+002	(1.80027466096360e-002dB,3.43668043605139e+000°)
3.04724697839092e+002	(1.89752201061542e-002dB,3.50376415661219e+000°)
3.10584788182151e+002	(1.99663843060683e-002dB,3.57083035106921e+000°)
3.16444878525211e+002	(2.09762281979556e-002dB,3.63787868965770e+000°)
3.22304968868270e+002	(2.20047405735444e-002dB,3.70490884302451e+000°)
3.28165059211330e+002	(2.30519100191873e-002dB,3.77192048223435e+000°)
3.34025149554389e+002	(2.41177249219777e-002dB,3.83891327877802e+000°)
3.39885239897449e+002	(2.52021734702540e-002dB,3.90588690457843e+000°)
3.45745330240508e+002	(2.63052436516030e-002dB,3.97284103199938e+000°)
3.51605420583568e+002	(2.74269232500433e-002dB,4.03977533385063e+000°)
3.57465510926627e+002	(2.85671998563628e-002dB,4.10668948339732e+000°)
3.63325601269687e+002	(2.97260608603421e-002dB,4.17358315436610e+000°)
3.69185691612746e+002	(3.09034934505103e-002dB,4.24045602095180e+000°)
3.75045781955806e+002	(3.20994846252981e-002dB,4.30730775782489e+000°)
3.80905872298865e+002	(3.33140211803293e-002dB,4.37413804013916e+000°)
3.86765962641925e+002	(3.45470897140036e-002dB,4.44094654353823e+000°)
3.92626052984984e+002	(3.57986766369201e-002dB,4.50773294416195e+000°)
3.98486143328044e+002	(3.70687681544047e-002dB,4.57449691865472e+000°)
4.04346233671103e+002	(3.83573502810609e-002dB,4.64123814417126e+000°)
4.10206324014163e+002	(3.96644088378761e-002dB,4.70795629838432e+000°)
4.16066414357222e+002	(4.09899294512882e-002dB,4.77465105949084e+000°)
4.21926504700282e+002	(4.23338975553096e-002dB,4.84132210621936e+000°)
4.27786595043341e+002	(4.36962983880179e-002dB,4.90796911783681e+000°)
4.33646685386401e+002	(4.50771170010945e-002dB,4.97459177415520e+000°)
4.39506775729460e+002	(4.64763382489936e-002dB,5.04118975553846e+000°)
4.45366866072519e+002	(4.78939468001858e-002dB,5.10776274290850e+000°)
4.51226956415579e+002	(4.93299271278227e-002dB,5.17431041775319e+000°)
4.57087046758638e+002	(5.07842635178064e-002dB,5.24083246213230e+000°)
