Freq.	V(out)*15.4882
5.86009034305946e+000	(-6.64068571978811e-003dB,-1.22153513180762e-001°)
1.17201806861189e+001	(-6.71257728714666e-003dB,-2.44305521353520e-001°)
1.75802710291784e+001	(-6.83239344237982e-003dB,-3.66454519664267e-001°)
2.34403613722378e+001	(-7.00013049920534e-003dB,-4.88599003424090e-001°)
2.93004517152973e+001	(-7.21578271386013e-003dB,-6.10737468247617e-001°)
3.51605420583567e+001	(-7.47934302178765e-003dB,-7.32868410141487e-001°)
4.10206324014162e+001	(-7.79080218413472e-003dB,-8.54990325651990e-001°)
4.68807227444756e+001	(-8.15014991904082e-003dB,-9.77101711891235e-001°)
5.27408130875351e+001	(-8.55737403538687e-003dB,-1.09920106669901e+000°)
5.86009034305945e+001	(-9.01246110430681e-003dB,-1.22128688866826e+000°)
6.44609937736540e+001	(-9.51539521257495e-003dB,-1.34335767741810e+000°)
7.03210841167135e+001	(-1.00661597247967e-002dB,-1.46541193345067e+000°)
7.61811744597729e+001	(-1.06647361817216e-002dB,-1.58744815839992e+000°)
8.20412648028324e+001	(-1.13111045386582e-002dB,-1.70946485509004e+000°)
8.79013551458918e+001	(-1.20052427476453e-002dB,-1.83146052773006e+000°)
9.37614454889513e+001	(-1.27471274427403e-002dB,-1.95343368188138e+000°)
9.96215358320107e+001	(-1.35367339292889e-002dB,-2.07538282454561e+000°)
1.05481626175070e+002	(-1.43740354647209e-002dB,-2.19730646442233e+000°)
1.11341716518130e+002	(-1.52590040753327e-002dB,-2.31920311182645e+000°)
1.17201806861189e+002	(-1.61916099818722e-002dB,-2.44107127891901e+000°)
1.23061897204249e+002	(-1.71718217473426e-002dB,-2.56290947978238e+000°)
1.28921987547308e+002	(-1.81996066869986e-002dB,-2.68471623039247e+000°)
1.34782077890367e+002	(-1.92749302292479e-002dB,-2.80649004890397e+000°)
1.40642168233427e+002	(-2.03977564178664e-002dB,-2.92822945559746e+000°)
1.46502258576486e+002	(-2.15680476405800e-002dB,-3.04993297306541e+000°)
1.52362348919546e+002	(-2.27857644498799e-002dB,-3.17159912637147e+000°)
1.58222439262605e+002	(-2.40508666154554e-002dB,-3.29322644277801e+000°)
1.64082529605665e+002	(-2.53633113862222e-002dB,-3.41481345246505e+000°)
1.69942619948724e+002	(-2.67230551979526e-002dB,-3.53635868800268e+000°)
1.75802710291784e+002	(-2.81300525908687e-002dB,-3.65786068484949e+000°)
1.81662800634843e+002	(-2.95842563983471e-002dB,-3.77931798139307e+000°)
1.87522890977903e+002	(-3.10856185107358e-002dB,-3.90072911871257e+000°)
1.93382981320962e+002	(-3.26340889123288e-002dB,-4.02209264107937e+000°)
1.99243071664021e+002	(-3.42296159618772e-002dB,-4.14340709594482e+000°)
2.05103162007081e+002	(-3.58721465551386e-002dB,-4.26467103396232e+000°)
2.10963252350140e+002	(-3.75616261827649e-002dB,-4.38588300904709e+000°)
2.16823342693200e+002	(-3.92979987402824e-002dB,-4.50704157856333e+000°)
2.22683433036259e+002	(-4.10812067561005e-002dB,-4.62814530329948e+000°)
2.28543523379319e+002	(-4.29111909279758e-002dB,-4.74919274780934e+000°)
2.34403613722378e+002	(-4.47878912252998e-002dB,-4.87018247990514e+000°)
2.40263704065438e+002	(-4.67112450563558e-002dB,-4.99111307175652e+000°)
