Freq.	V(out)*15.4882
5.86009034305946e+000	(1.64086166938252e+001dB,-2.96097838366829e+000°)
1.17201806861189e+001	(1.63617695971491e+001dB,-5.89639237886529e+000°)
1.75802710291784e+001	(1.62848483903950e+001dB,-8.78179196255863e+000°)
2.34403613722378e+001	(1.61795028909679e+001dB,-1.15948375057591e+001°)
2.93004517152973e+001	(1.60478834229072e+001dB,-1.43160819363464e+001°)
3.51605420583567e+001	(1.58925081316025e+001dB,-1.69294822243168e+001°)
4.10206324014162e+001	(1.57161236893304e+001dB,-1.94226273950495e+001°)
4.68807227444756e+001	(1.55215732819957e+001dB,-2.17867089083325e+001°)
5.27408130875351e+001	(1.53116820523835e+001dB,-2.40162855930959e+001°)
5.86009034305945e+001	(1.50891657574241e+001dB,-2.61089070801182e+001°)
6.44609937736540e+001	(1.48565643835970e+001dB,-2.80646589773111e+001°)
7.03210841167135e+001	(1.46161993225406e+001dB,-2.98856834258719e+001°)
7.61811744597729e+001	(1.43701508604728e+001dB,-3.15757155207740e+001°)
8.20412648028324e+001	(1.41202517927371e+001dB,-3.31396618370520e+001°)
8.79013551458918e+001	(1.38680929500970e+001dB,-3.45832354080582e+001°)
9.37614454889513e+001	(1.36150367978627e+001dB,-3.59126519831653e+001°)
9.96215358320107e+001	(1.33622359522646e+001dB,-3.71343861267716e+001°)
1.05481626175070e+002	(1.31106541574085e+001dB,-3.82549817604939e+001°)
1.11341716518130e+002	(1.28610879522359e+001dB,-3.92809099429188e+001°)
1.17201806861189e+002	(1.26141878114189e+001dB,-4.02184660216031e+001°)
1.23061897204249e+002	(1.23704780021441e+001dB,-4.10736986537742e+001°)
1.28921987547308e+002	(1.21303747367858e+001dB,-4.18523640092254e+001°)
1.34782077890367e+002	(1.18942024240665e+001dB,-4.25598991977777e+001°)
1.40642168233427e+002	(1.16622080045135e+001dB,-4.32014102961241e+001°)
1.46502258576486e+002	(1.14345734350852e+001dB,-4.37816708968728e+001°)
1.52362348919546e+002	(1.12114264672475e+001dB,-4.43051282866574e+001°)
1.58222439262605e+002	(1.09928498739758e+001dB,-4.47759147136521e+001°)
1.64082529605665e+002	(1.07788893056264e+001dB,-4.51978620577809e+001°)
1.69942619948724e+002	(1.05695599432897e+001dB,-4.55745184880803e+001°)
1.75802710291784e+002	(1.03648521085274e+001dB,-4.59091661001692e+001°)
1.81662800634843e+002	(1.01647359797211e+001dB,-4.62048388724288e+001°)
1.87522890977903e+002	(9.96916554231418e+000dB,-4.64643403745411e+001°)
1.93382981320962e+002	(9.77808189024398e+000dB,-4.66902609269128e+001°)
1.99243071664021e+002	(9.59141597707536e+000dB,-4.68849939731360e+001°)
2.05103162007081e+002	(9.40909090378426e+000dB,-4.70507515371538e+001°)
2.10963252350140e+002	(9.23102381658263e+000dB,-4.71895787097035e+001°)
2.16823342693200e+002	(9.05712747647524e+000dB,-4.73033670914727e+001°)
2.22683433036259e+002	(8.88731155407910e+000dB,-4.73938672657482e+001°)
2.28543523379319e+002	(8.72148369531094e+000dB,-4.74627002872326e+001°)
2.34403613722378e+002	(8.55955039450130e+000dB,-4.75113682586150e+001°)
2.40263704065438e+002	(8.40141770641110e+000dB,-4.75412640113035e+001°)
2.46123794408497e+002	(8.24699182526686e+000dB,-4.75536800018254e+001°)
2.51983884751557e+002	(8.09617955125294e+000dB,-4.75498164139472e+001°)
2.57843975094616e+002	(7.94888866493827e+000dB,-4.75307885971735e+001°)
2.63704065437676e+002	(7.80502822387663e+000dB,-4.74976338399418e+001°)
2.69564155780735e+002	(7.66450879474404e+000dB,-4.74513175567971e+001°)
2.75424246123794e+002	(7.52724263306865e+000dB,-4.73927389552176e+001°)
2.81284336466854e+002	(7.39314381832230e+000dB,-4.73227361711731e+001°)
2.87144426809913e+002	(7.26212835276799e+000dB,-4.72420910171094e+001°)
2.93004517152973e+002	(7.13411423016671e+000dB,-4.71515332534159e+001°)
2.98864607496032e+002	(7.00902147991034e+000dB,-4.70517445538187e+001°)
3.04724697839092e+002	(6.88677219137166e+000dB,-4.69433620904428e+001°)
3.10584788182151e+002	(6.76729052106151e+000dB,-4.68269818326067e+001°)
3.16444878525211e+002	(6.65050268709873e+000dB,-4.67031615635145e+001°)
3.22304968868270e+002	(6.53633695251274e+000dB,-4.65724236481700e+001°)
3.28165059211330e+002	(6.42472360053493e+000dB,-4.64352575643070e+001°)
3.34025149554389e+002	(6.31559490236812e+000dB,-4.62921222376237e+001°)
3.39885239897449e+002	(6.20888508050715e+000dB,-4.61434481674997e+001°)
3.45745330240508e+002	(6.10453026746303e+000dB,-4.59896394080279e+001°)
3.51605420583568e+002	(6.00246846162514e+000dB,-4.58310753668931e+001°)
3.57465510926627e+002	(5.90263948118595e+000dB,-4.56681124776966e+001°)
3.63325601269687e+002	(5.80498491635779e+000dB,-4.55010857353700e+001°)
3.69185691612746e+002	(5.70944808105047e+000dB,-4.53303101048346e+001°)
3.75045781955806e+002	(5.61597396371547e+000dB,-4.51560818466086e+001°)
3.80905872298865e+002	(5.52450917876848e+000dB,-4.49786797153032e+001°)
3.86765962641925e+002	(5.43500191757524e+000dB,-4.47983660827863e+001°)
3.92626052984984e+002	(5.34740190043398e+000dB,-4.46153879748945e+001°)
3.98486143328044e+002	(5.26166032974729e+000dB,-4.44299780368418e+001°)
4.04346233671103e+002	(5.17772984295574e+000dB,-4.42423554172553e+001°)
4.10206324014163e+002	(5.09556446727156e+000dB,-4.40527266052992e+001°)
4.16066414357222e+002	(5.01511957539309e+000dB,-4.38612861965325e+001°)
4.21926504700282e+002	(4.93635184253559e+000dB,-4.36682176063330e+001°)
4.27786595043341e+002	(4.85921920398443e+000dB,-4.34736937413553e+001°)
4.33646685386401e+002	(4.78368081464618e+000dB,-4.32778776200419e+001°)
4.39506775729460e+002	(4.70969700964533e+000dB,-4.30809229479822e+001°)
4.45366866072519e+002	(4.63722926589478e+000dB,-4.28829746625437e+001°)
4.51226956415579e+002	(4.56624016465967e+000dB,-4.26841694393398e+001°)
4.57087046758638e+002	(4.49669335655486e+000dB,-4.24846361620419e+001°)
4.62947137101698e+002	(4.42855352662843e+000dB,-4.22844963610265e+001°)
4.68807227444757e+002	(4.36178636050825e+000dB,-4.20838646339801e+001°)
4.74667317787817e+002	(4.29635851290906e+000dB,-4.18828490260629e+001°)
4.80527408130876e+002	(4.23223757580474e+000dB,-4.16815514000642e+001°)
4.86387498473936e+002	(4.16939204873344e+000dB,-4.14800677713826e+001°)
4.92247588816995e+002	(4.10779130984676e+000dB,-4.12784886323604e+001°)
4.98107679160055e+002	(4.04740558779845e+000dB,-4.10768992487095e+001°)
5.03967769503114e+002	(3.98820593478968e+000dB,-4.08753799461670e+001°)
5.09827859846174e+002	(3.93016420058638e+000dB,-4.06740063737743e+001°)
5.15687950189233e+002	(3.87325300737451e+000dB,-4.04728497544189e+001°)
5.21548040532293e+002	(3.81744572589204e+000dB,-4.02719771221208e+001°)
5.27408130875352e+002	(3.76271645154789e+000dB,-4.00714515406149e+001°)
5.33268221218412e+002	(3.70903998218013e+000dB,-3.98713323164633e+001°)
5.39128311561471e+002	(3.65639179646014e+000dB,-3.96716751934633e+001°)
5.44988401904531e+002	(3.60474803283853e+000dB,-3.94725325408654e+001°)
5.50848492247590e+002	(3.55408546912508e+000dB,-3.92739535276886e+001°)
5.56708582590650e+002	(3.50438150340703e+000dB,-3.90759842910517e+001°)
5.62568672933709e+002	(3.45561413474744e+000dB,-3.88786680914584e+001°)
5.68428763276769e+002	(3.40776194542031e+000dB,-3.86820454606385e+001°)
5.74288853619828e+002	(3.36080408294964e+000dB,-3.84861543454623e+001°)
5.80148943962888e+002	(3.31472024352267e+000dB,-3.82910302377368e+001°)
5.86009034305947e+002	(3.26949065548270e+000dB,-3.80967063000206e+001°)
5.91869124649006e+002	(3.22509606338325e+000dB,-3.79032134867722e+001°)
5.97729214992066e+002	(3.18151771305796e+000dB,-3.77105806568160e+001°)
6.03589305335125e+002	(3.13873733634643e+000dB,-3.75188346784823e+001°)
6.09449395678185e+002	(3.09673713740609e+000dB,-3.73280005337749e+001°)
6.15309486021244e+002	(3.05549977840159e+000dB,-3.71381014121747e+001°)
6.21169576364304e+002	(3.01500836662714e+000dB,-3.69491588035603e+001°)
6.27029666707363e+002	(2.97524644110930e+000dB,-3.67611925852789e+001°)
6.32889757050423e+002	(2.93619796069363e+000dB,-3.65742211000143e+001°)
6.38749847393482e+002	(2.89784729158746e+000dB,-3.63882612407547e+001°)
6.44609937736542e+002	(2.86017919565209e+000dB,-3.62033285201296e+001°)
6.50470028079601e+002	(2.82317881962184e+000dB,-3.60194371410008e+001°)
6.56330118422661e+002	(2.78683168344110e+000dB,-3.58366000653504e+001°)
6.62190208765720e+002	(2.75112367014084e+000dB,-3.56548290776200e+001°)
6.68050299108780e+002	(2.71604101587636e+000dB,-3.54741348422510e+001°)
6.73910389451839e+002	(2.68157029907801e+000dB,-3.52945269649883e+001°)
6.79770479794899e+002	(2.64769843172189e+000dB,-3.51160140462644e+001°)
6.85630570137958e+002	(2.61441264997244e+000dB,-3.49386037294731e+001°)
6.91490660481018e+002	(2.58170050420344e+000dB,-3.47623027580646e+001°)
6.97350750824077e+002	(2.54954985164744e+000dB,-3.45871170150849e+001°)
7.03210841167137e+002	(2.51794884686564e+000dB,-3.44130515719711e+001°)
7.09070931510196e+002	(2.48688593424238e+000dB,-3.42401107290967e+001°)
7.14931021853256e+002	(2.45634983936801e+000dB,-3.40682980594123e+001°)
7.20791112196315e+002	(2.42632956208428e+000dB,-3.38976164427782e+001°)
7.26651202539375e+002	(2.39681436831392e+000dB,-3.37280681049385e+001°)
7.32511292882434e+002	(2.36779378336391e+000dB,-3.35596546538993e+001°)
7.38371383225494e+002	(2.33925758451718e+000dB,-3.33923771099272e+001°)
7.44231473568553e+002	(2.31119579451182e+000dB,-3.32262359398036e+001°)
7.50091563911613e+002	(2.28359867459201e+000dB,-3.30612310852983e+001°)
7.55951654254672e+002	(2.25645671855679e+000dB,-3.28973619933950e+001°)
7.61811744597731e+002	(2.22976064598401e+000dB,-3.27346276427647e+001°)
7.67671834940791e+002	(2.20350139666238e+000dB,-3.25730265703450e+001°)
7.73531925283850e+002	(2.17767012464709e+000dB,-3.24125568940017e+001°)
7.79392015626910e+002	(2.15225819217425e+000dB,-3.22532163408294e+001°)
7.85252105969969e+002	(2.12725716480767e+000dB,-3.20950022650899e+001°)
7.91112196313029e+002	(2.10265880547415e+000dB,-3.19379116710814e+001°)
7.96972286656088e+002	(2.07845506962026e+000dB,-3.17819412345933e+001°)
8.02832376999148e+002	(2.05463810003541e+000dB,-3.16270873224286e+001°)
8.08692467342207e+002	(2.03120022196298e+000dB,-3.14733460084202e+001°)
8.14552557685267e+002	(2.00813393838230e+000dB,-3.13207130935725e+001°)
8.20412648028326e+002	(1.98543192517694e+000dB,-3.11691841231622e+001°)
8.26272738371386e+002	(1.96308702700480e+000dB,-3.10187544004866e+001°)
8.32132828714445e+002	(1.94109225272712e+000dB,-3.08694190025440e+001°)
8.37992919057505e+002	(1.91944077106669e+000dB,-3.07211727978772e+001°)
8.43853009400564e+002	(1.89812590664580e+000dB,-3.05740104559086e+001°)
8.49713099743624e+002	(1.87714113595238e+000dB,-3.04279264626598e+001°)
8.55573190086683e+002	(1.85648008346696e+000dB,-3.02829151328116e+001°)
8.61433280429743e+002	(1.83613651779760e+000dB,-3.01389706210928e+001°)
