Freq.	V(out)*15.4882
1.46502258576486e+000	(-2.01913252815695e+001dB,5.75148984288426e-001°)
2.93004517152972e+000	(-2.01897278717209e+001dB,1.15014027109925e+000°)
4.39506775729459e+000	(-2.01870668522518e+001dB,1.72481639727942e+000°)
5.86009034305945e+000	(-2.01833442150274e+001dB,2.29902036748184e+000°)
7.32511292882431e+000	(-2.01785627418118e+001dB,2.87259588598753e+000°)
8.79013551458918e+000	(-2.01727259973653e+001dB,3.44538758576935e+000°)
1.02551581003540e+001	(-2.01658383208298e+001dB,4.01724125430382e+000°)
1.17201806861189e+001	(-2.01579048148532e+001dB,4.58800405505870e+000°)
1.31852032718838e+001	(-2.01489313335685e+001dB,5.15752474401803e+000°)
1.46502258576486e+001	(-2.01389244681739e+001dB,5.72565388043322e+000°)
1.61152484434135e+001	(-2.01278915312737e+001dB,6.29224403110498e+000°)
1.75802710291784e+001	(-2.01158405394799e+001dB,6.85714996755111e+000°)
1.90452936149432e+001	(-2.01027801946829e+001dB,7.42022885542530e+000°)
2.05103162007081e+001	(-2.00887198634061e+001dB,7.98134043557438e+000°)
2.19753387864730e+001	(-2.00736695556543e+001dB,8.54034719632335e+000°)
2.34403613722378e+001	(-2.00576399018601e+001dB,9.09711453640424e+000°)
2.49053839580027e+001	(-2.00406421289808e+001dB,9.65151091820648e+000°)
2.63704065437675e+001	(-2.00226880357259e+001dB,1.02034080109753e+001°)
2.78354291295324e+001	(-2.00037899665890e+001dB,1.07526808236664e+001°)
2.93004517152973e+001	(-1.99839607856443e+001dB,1.12992078272256e+001°)
3.07654743010621e+001	(-1.99632138487632e+001dB,1.18428710661414e+001°)
3.22304968868270e+001	(-1.99415629763590e+001dB,1.23835562591324e+001°)
3.36955194725919e+001	(-1.99190224250314e+001dB,1.29211528889407e+001°)
3.51605420583567e+001	(-1.98956068589143e+001dB,1.34555542811983e+001°)
3.66255646441216e+001	(-1.98713313210621e+001dB,1.39866576724475e+001°)
3.80905872298865e+001	(-1.98462112046252e+001dB,1.45143642674024e+001°)
3.95556098156513e+001	(-1.98202622238338e+001dB,1.50385792856106e+001°)
4.10206324014162e+001	(-1.97935003853525e+001dB,1.55592119976842e+001°)
4.24856549871810e+001	(-1.97659419596927e+001dB,1.60761757513755e+001°)
4.39506775729459e+001	(-1.97376034528685e+001dB,1.65893879877472e+001°)
4.54157001587108e+001	(-1.97085015784381e+001dB,1.70987702477382e+001°)
4.68807227444756e+001	(-1.96786532298546e+001dB,1.76042481694899e+001°)
4.83457453302405e+001	(-1.96480754537783e+001dB,1.81057514767866e+001°)
4.98107679160054e+001	(-1.96167854233589e+001dB,1.86032139589928e+001°)
5.12757905017702e+001	(-1.95848004124116e+001dB,1.90965734429148e+001°)
