Freq.	V(out)*15.4882
2.93004517152973e+000	(6.22056466535403e+000dB,-2.61701511742272e+000°)
5.86009034305946e+000	(6.17360761543504e+000dB,-5.20967899107216e+000°)
8.79013551458918e+000	(6.09638136360617e+000dB,-7.75459244920217e+000°)
1.17201806861189e+001	(5.99036796186836e+000dB,-1.02301657497227e+001°)
1.46502258576486e+001	(5.85750985507733e+000dB,-1.26173036834549e+001°)
1.75802710291784e+001	(5.70009840817434e+000dB,-1.48998703886424e+001°)
2.05103162007081e+001	(5.52065540179724e+000dB,-1.70649199251306e+001°)
2.34403613722378e+001	(5.32181891928974e+000dB,-1.91027094875463e+001°)
2.63704065437675e+001	(5.10624232214161e+000dB,-2.10065342104235e+001°)
2.93004517152973e+001	(4.87651162990023e+000dB,-2.27724337144290e+001°)
3.22304968868270e+001	(4.63508337214935e+000dB,-2.43988217779659e+001°)
3.51605420583567e+001	(4.38424238068762e+000dB,-2.58860845580281e+001°)
3.80905872298865e+001	(4.12607725078269e+000dB,-2.72361829195431e+001°)
4.10206324014162e+001	(3.86247029184089e+000dB,-2.84522835145964e+001°)
4.39506775729459e+001	(3.59509854167526e+000dB,-2.95384332390108e+001°)
4.68807227444756e+001	(3.32544262040114e+000dB,-3.04992836092165e+001°)
4.98107679160054e+001	(3.05480065131562e+000dB,-3.13398657429053e+001°)
5.27408130875351e+001	(2.78430502407070e+000dB,-3.20654128258672e+001°)
5.56708582590648e+001	(2.51494031879632e+000dB,-3.26812248156136e+001°)
5.86009034305945e+001	(2.24756119192915e+000dB,-3.31925692238308e+001°)
6.15309486021243e+001	(1.98290942131694e+000dB,-3.36046117282830e+001°)
6.44609937736540e+001	(1.72162961655131e+000dB,-3.39223707644086e+001°)
6.73910389451837e+001	(1.46428332874558e+000dB,-3.41506908999045e+001°)
7.03210841167135e+001	(1.21136145544495e+000dB,-3.42942305417216e+001°)
7.32511292882432e+001	(9.63294945320369e-001dB,-3.43574602653585e+001°)
7.61811744597729e+001	(7.20463876907663e-001dB,-3.43446687361448e+001°)
7.91112196313026e+001	(4.83205026946185e-001dB,-3.42599737866402e+001°)
8.20412648028324e+001	(2.51818065616963e-001dB,-3.41073367166574e+001°)
8.49713099743621e+001	(2.65705247721238e-002dB,-3.38905782977200e+001°)
8.79013551458918e+001	(-1.92298314094244e-001dB,-3.36133953015677e+001°)
9.08314003174216e+001	(-4.04574469520084e-001dB,-3.32793766450884e+001°)
9.37614454889513e+001	(-6.10067111474132e-001dB,-3.28920184637957e+001°)
9.66914906604810e+001	(-8.08607086410130e-001dB,-3.24547376040317e+001°)
9.96215358320107e+001	(-1.00004599611071e+000dB,-3.19708831700067e+001°)
1.02551581003540e+002	(-1.18425571862485e+000dB,-3.14437458834774e+001°)
1.05481626175070e+002	(-1.36112826763010e+000dB,-3.08765651173845e+001°)
1.08411671346600e+002	(-1.53057589449194e+000dB,-3.02725335545538e+001°)
1.11341716518130e+002	(-1.69253134529226e+000dB,-2.96347995015249e+001°)
1.14271761689659e+002	(-1.84694819332855e+000dB,-2.89664669574962e+001°)
1.17201806861189e+002	(-1.99380117618716e+000dB,-2.82705935998578e+001°)
1.20131852032719e+002	(-2.13308647556946e+000dB,-2.75501869009347e+001°)
1.23061897204249e+002	(-2.26482188761016e+000dB,-2.68081986346900e+001°)
1.25991942375778e+002	(-2.38904684142368e+000dB,-2.60475180666614e+001°)
1.28921987547308e+002	(-2.50582223389412e+000dB,-2.52709641443937e+001°)
1.31852032718838e+002	(-2.61523005909064e+000dB,-2.44812770186313e+001°)
1.34782077890368e+002	(-2.71737282087258e+000dB,-2.36811092272618e+001°)
1.37712123061897e+002	(-2.81237272696522e+000dB,-2.28730168646698e+001°)
1.40642168233427e+002	(-2.90037067174367e+000dB,-2.20594510395076e+001°)
1.43572213404957e+002	(-2.98152502289050e+000dB,-2.12427498950750e+001°)
1.46502258576486e+002	(-3.05601023376741e+000dB,-2.04251314301647e+001°)
1.49432303748016e+002	(-3.12401530859762e+000dB,-1.96086873162410e+001°)
1.52362348919546e+002	(-3.18574215130539e+000dB,-1.87953778613545e+001°)
1.55292394091076e+002	(-3.24140383108313e+000dB,-1.79870282243400e+001°)
1.58222439262605e+002	(-3.29122279851905e+000dB,-1.71853259366741e+001°)
1.61152484434135e+002	(-3.33542908553772e+000dB,-1.63918197457316e+001°)
1.64082529605665e+002	(-3.37425852066378e+000dB,-1.56079197535877e+001°)
1.67012574777195e+002	(-3.40795098842345e+000dB,-1.48348987911307e+001°)
1.69942619948724e+002	(-3.43674875828370e+000dB,-1.40738949388471e+001°)
1.72872665120254e+002	(-3.46089490463115e+000dB,-1.33259150835806e+001°)
1.75802710291784e+002	(-3.48063183513561e+000dB,-1.25918393849024e+001°)
1.78732755463314e+002	(-3.49619994063146e+000dB,-1.18724265151083e+001°)
1.81662800634843e+002	(-3.50783637555930e+000dB,-1.11683195328448e+001°)
1.84592845806373e+002	(-3.51577397417712e+000dB,-1.04800522511762e+001°)
1.87522890977903e+002	(-3.52024030428341e+000dB,-9.80805596580280e+000°)
1.90452936149433e+002	(-3.52145685716014e+000dB,-9.15266641726001e+000°)
1.93382981320962e+002	(-3.51963836988165e+000dB,-8.51413087143001e+000°)
1.96313026492492e+002	(-3.51499227405490e+000dB,-7.89261521483369e+000°)
1.99243071664022e+002	(-3.50771826344809e+000dB,-7.28821097422110e+000°)
2.02173116835552e+002	(-3.49800797179579e+000dB,-6.70094218333467e+000°)
2.05103162007081e+002	(-3.48604475130135e+000dB,-6.13077203292717e+000°)
2.08033207178611e+002	(-3.47200354194203e+000dB,-5.57760925273911e+000°)
2.10963252350141e+002	(-3.45605082156579e+000dB,-5.04131418592679e+000°)
2.13893297521671e+002	(-3.43834462690001e+000dB,-4.52170452717356e+000°)
2.16823342693200e+002	(-3.41903463592024e+000dB,-4.01856070529551e+000°)
2.19753387864730e+002	(-3.39826230250389e+000dB,-3.53163089953251e+000°)
2.22683433036260e+002	(-3.37616103487983e+000dB,-3.06063568587067e+000°)
2.25613478207789e+002	(-3.35285641003987e+000dB,-2.60527231575330e+000°)
2.28543523379319e+002	(-3.32846641697516e+000dB,-2.16521863444317e+000°)
2.31473568550849e+002	(-3.30310172231103e+000dB,-1.74013665020507e+000°)
2.34403613722379e+002	(-3.27686595261880e+000dB,-1.32967576849084e+000°)
2.37333658893908e+002	(-3.24985598836716e+000dB,-9.33475707523617e-001°)
2.40263704065438e+002	(-3.22216226512547e+000dB,-5.51169113211158e-001°)
2.43193749236968e+002	(-3.19386907824155e+000dB,-1.82383892262578e-001°)
2.46123794408498e+002	(-3.16505488777903e+000dB,1.73254717148200e-001°)
2.49053839580027e+002	(-3.13579262101354e+000dB,5.16122317775415e-001°)
2.51983884751557e+002	(-3.10614997025170e+000dB,8.46593749602535e-001°)
2.54913929923087e+002	(-3.07618968415076e+000dB,1.16504169141512e+000°)
2.57843975094617e+002	(-3.04596985108563e+000dB,1.47183544970764e+000°)
2.60774020266146e+002	(-3.01554417343090e+000dB,1.76733991781716e+000°)
2.63704065437676e+002	(-2.98496223190743e+000dB,2.05191468911193e+000°)
2.66634110609206e+002	(-2.95426973938326e+000dB,2.32591330905093e+000°)
2.69564155780736e+002	(-2.92350878372671e+000dB,2.58968265194754e+000°)
2.72494200952265e+002	(-2.89271805948262e+000dB,2.84356240929722e+000°)
2.75424246123795e+002	(-2.86193308829041e+000dB,3.08788467754263e+000°)
2.78354291295325e+002	(-2.83118642808279e+000dB,3.32297363412919e+000°)
2.81284336466855e+002	(-2.80050787120370e+000dB,3.54914529166001e+000°)
2.84214381638384e+002	(-2.76992463166323e+000dB,3.76670732085551e+000°)
2.87144426809914e+002	(-2.73946152181070e+000dB,3.97595893388211e+000°)
2.90074471981444e+002	(-2.70914111875567e+000dB,4.17719082040890e+000°)
2.93004517152974e+002	(-2.67898392090244e+000dB,4.37068512950370e+000°)
2.95934562324503e+002	(-2.64900849499034e+000dB,4.55671549116852e+000°)
2.98864607496033e+002	(-2.61923161404867e+000dB,4.73554707195151e+000°)
3.01794652667563e+002	(-2.58966838668503e+000dB,4.90743665966356e+000°)
3.04724697839092e+002	(-2.56033237812981e+000dB,5.07263277276170e+000°)
3.07654743010622e+002	(-2.53123572345832e+000dB,5.23137579045088e+000°)
3.10584788182152e+002	(-2.50238923340684e+000dB,5.38389810000158e+000°)
3.13514833353682e+002	(-2.47380249319047e+000dB,5.53042425818701e+000°)
3.16444878525211e+002	(-2.44548395472056e+000dB,5.67117116410140e+000°)
3.19374923696741e+002	(-2.41744102260556e+000dB,5.80634824095814e+000°)
3.22304968868271e+002	(-2.38968013430639e+000dB,5.93615762475641e+000°)
3.25235014039801e+002	(-2.36220683480159e+000dB,6.06079435797198e+000°)
3.28165059211330e+002	(-2.33502584610207e+000dB,6.18044658666783e+000°)
3.31095104382860e+002	(-2.30814113193938e+000dB,6.29529575962975e+000°)
3.34025149554390e+002	(-2.28155595793514e+000dB,6.40551682832223e+000°)
3.36955194725920e+002	(-2.25527294754345e+000dB,6.51127844663169e+000°)
3.39885239897449e+002	(-2.22929413404224e+000dB,6.61274316950779e+000°)
3.42815285068979e+002	(-2.20362100883382e+000dB,6.71006764975412e+000°)
3.45745330240509e+002	(-2.17825456630031e+000dB,6.80340283232997e+000°)
3.48675375412039e+002	(-2.15319534544501e+000dB,6.89289414563260e+000°)
3.51605420583568e+002	(-2.12844346853640e+000dB,6.97868168932230e+000°)
3.54535465755098e+002	(-2.10399867695897e+000dB,7.06090041832643e+000°)
3.57465510926628e+002	(-2.07986036446134e+000dB,7.13968032273775e+000°)
3.60395556098158e+002	(-2.05602760798084e+000dB,7.21514660337715e+000°)
3.63325601269687e+002	(-2.03249919621186e+000dB,7.28741984284736e+000°)
3.66255646441217e+002	(-2.00927365607417e+000dB,7.35661617195219e+000°)
3.69185691612747e+002	(-1.98634927722769e+000dB,7.42284743139466e+000°)
3.72115736784277e+002	(-1.96372413477001e+000dB,7.48622132870280e+000°)
3.75045781955806e+002	(-1.94139611024404e+000dB,7.54684159036152e+000°)
3.77975827127336e+002	(-1.91936291107459e+000dB,7.60480810915809e+000°)
3.80905872298866e+002	(-1.89762208854450e+000dB,7.66021708676570e+000°)
3.83835917470395e+002	(-1.87617105441372e+000dB,7.71316117161141e+000°)
3.86765962641925e+002	(-1.85500709627721e+000dB,7.76372959209214e+000°)
3.89696007813455e+002	(-1.83412739175120e+000dB,7.81200828520860e+000°)
3.92626052984985e+002	(-1.81352902157134e+000dB,7.85808002070799e+000°)
3.95556098156514e+002	(-1.79320898167986e+000dB,7.90202452082398e+000°)
3.98486143328044e+002	(-1.77316419437441e+000dB,7.94391857571927e+000°)
4.01416188499574e+002	(-1.75339151858514e+000dB,7.98383615473494e+000°)
4.04346233671104e+002	(-1.73388775934296e+000dB,8.02184851355771e+000°)
4.07276278842633e+002	(-1.71464967649656e+000dB,8.05802429741843e+000°)
4.10206324014163e+002	(-1.69567399273255e+000dB,8.09242964043823e+000°)
4.13136369185693e+002	(-1.67695740094871e+000dB,8.12512826123821e+000°)
4.16066414357223e+002	(-1.65849657102703e+000dB,8.15618155492994e+000°)
4.18996459528752e+002	(-1.64028815604984e+000dB,8.18564868160399e+000°)
4.21926504700282e+002	(-1.62232879799958e+000dB,8.21358665143217e+000°)
4.24856549871812e+002	(-1.60461513297936e+000dB,8.24005040649858e+000°)
4.27786595043342e+002	(-1.58714379598932e+000dB,8.26509289947280e+000°)
4.30716640214871e+002	(-1.56991142529110e+000dB,8.28876516923626e+000°)
4.33646685386401e+002	(-1.55291466639052e+000dB,8.31111641357135e+000°)
4.36576730557931e+002	(-1.53615017566628e+000dB,8.33219405901955e+000°)
4.39506775729461e+002	(-1.51961462367080e+000dB,8.35204382801369e+000°)
4.42436820900990e+002	(-1.50330469812728e+000dB,8.37070980338537e+000°)
4.45366866072520e+002	(-1.48721710664534e+000dB,8.38823449034588e+000°)
4.48296911244050e+002	(-1.47134857917608e+000dB,8.40465887603735e+000°)
4.51226956415580e+002	(-1.45569587022602e+000dB,8.42002248674767e+000°)
4.54157001587109e+002	(-1.44025576084771e+000dB,8.43436344287768e+000°)
4.57087046758639e+002	(-1.42502506042393e+000dB,8.44771851174973e+000°)
4.60017091930169e+002	(-1.41000060826079e+000dB,8.46012315834124e+000°)
4.62947137101699e+002	(-1.39517927500438e+000dB,8.47161159402414e+000°)
4.65877182273228e+002	(-1.38055796389411e+000dB,8.48221682339027e+000°)
4.68807227444758e+002	(-1.36613361186541e+000dB,8.49197068923785e+000°)
4.71737272616288e+002	(-1.35190319051323e+000dB,8.50090391579197e+000°)
4.74667317787817e+002	(-1.33786370692709e+000dB,8.50904615022976e+000°)
4.77597362959347e+002	(-1.32401220440778e+000dB,8.51642600257933e+000°)
4.80527408130877e+002	(-1.31034576307470e+000dB,8.52307108405477e+000°)
4.83457453302407e+002	(-1.29686150037282e+000dB,8.52900804389368e+000°)
4.86387498473936e+002	(-1.28355657148688e+000dB,8.53426260475446e+000°)
4.89317543645466e+002	(-1.27042816967063e+000dB,8.53885959673380e+000°)
4.92247588816996e+002	(-1.25747352649760e+000dB,8.54282299005814e+000°)
4.95177633988526e+002	(-1.24468991204017e+000dB,8.54617592650434e+000°)
4.98107679160055e+002	(-1.23207463498264e+000dB,8.54894074959936e+000°)
